"HGNC_Symbol","hiPSC_Neuron","BloodmRNA","DISC1_RNA","gandalMicro","gandalRNAseq","hiPSC_NPC1","MtSinaiACC","MtSinaiDLPFC","MtSinaiMTA","MtSinaiTPA","Stanley","CommonMind_DLPFC","Deep_Neurons","Superficial_Neurons","Superficial_Deep_Neurons","Lewis_2017_L3","Lewis_2017_L5","Lewis_2015_L3","Lewis_2015_L5","barnesAll","barnesFemale","barnesMale","Iwamoto_BA10_SCZ","Iwamoto_BA46_SCZ","MaycoxAll","MaycoxFemale","MaycoxMale","PietersenAllParvalbumin","PietersenAllPyramidal","PietersenFemaleParvalbumin","PietersenFemalePyramidal","PietersenMaleParvalbumin","PietersenMalePyramidal"
"ATP1B1","0.04, p=0.82291","-0.64, p=0.0209","0.19, p=0.29578","-0.04, p=0.02337","-0.1, p=0.00634","0.22, p=0.22504","0.04, p=0.62502","-0.1, p=0.44544","0.07, p=0.44948","0.08, p=0.28604","0, p=0.99739","-0.02, p=0.2155","0.24, p=0.57902","0.21, p=0.64457","0.45, p=0.49261","-0.01, p=0.72192","-0.02, p=0.49637","-0.04, p=0.10504","-0.06, p=0.02885","-0.08, p=0.42627","-0.07, p=0.69109","-0.1, p=0.44072","-0.24, p=0.18138","0.05, p=0.48552","-0.02, p=0.67484","-0.13, p=0.23248","0.04, p=0.56069","-0.47, p=0.51886","-0.52, p=0.49783","-0.07, p=0.84565","-0.18, p=0.80256","-0.88, p=0.39915","-0.95, p=0.36655"
"FAIM","-0.09, p=0.82311","-0.04, p=0.851",NA,"0.02, p=0.55596","-0.06, p=0.01597","0.61, p=0.1626","-0.35, p=0.04586","-0.15, p=0.18563","0.03, p=0.85454","0.08, p=0.56423","-0.03, p=0.31046","-0.04, p=0.02087","-0.07, p=0.5106","-0.07, p=0.53254","-0.14, p=0.3865","0.56, p=0.04749","0.04, p=0.89674","-0.3, p=0.10777","0.02, p=0.92607","-0.03, p=0.74426","-0.06, p=0.68245","-0.01, p=0.93672",NA,"-0.08, p=0.51335","-0.03, p=0.77368","0.12, p=0.43269","-0.16, p=0.21048","-0.77, p=0.37753","-0.77, p=0.31531","-1.66, p=0.16879","-1.03, p=0.36072","0.12, p=0.92037","-0.44, p=0.65835"
"HDAC6","-0.02, p=0.82383",NA,"-0.02, p=0.9118","0.01, p=0.36205","0.02, p=0.11249","-0.07, p=0.39043","-0.01, p=0.93426","-0.03, p=0.71773","0.09, p=0.26351","0.02, p=0.78435","0.01, p=0.81222","0.03, p=0.00776",NA,NA,NA,"0.33, p=0.08886","0.31, p=0.13475","-0.01, p=0.84757","0, p=0.95249","-0.32, p=0.33112","-1.06, p=0.05738","0.35, p=0.56488","-0.14, p=0.41023","0.03, p=0.52569","-0.02, p=0.37045","0.13, p=0.51741","-0.05, p=0.37478","0.02, p=0.90454","-0.01, p=0.46677","-0.49, p=0.66006","0.22, p=0.4775","0.52, p=0.54347","-0.29, p=0.70493"
"ZW10","0.02, p=0.82503","0.11, p=0.457","-0.34, p=0.17595","0, p=0.81248","0, p=0.91937","0.06, p=0.49097","0.05, p=0.67327","-0.15, p=0.37181","-0.15, p=0.23948","-0.19, p=0.11853","-0.01, p=0.80308","-0.02, p=0.1051","-0.01, p=0.83904","-0.02, p=0.78915","-0.03, p=0.74953","-0.31, p=0.26367","-0.53, p=0.06775","-0.16, p=0.25079","-0.3, p=0.03583","-0.06, p=0.31048","-0.03, p=0.70775","-0.08, p=0.38565","-0.22, p=0.58008","-0.03, p=0.68115","0.04, p=0.41568","0.02, p=0.80764","0.04, p=0.61581","-1.35, p=0.1648","-0.63, p=0.40004","-1.15, p=0.35974","-2, p=0.0629","-1.55, p=0.15723","1.07, p=0.28402"
"ZNF131","-0.01, p=0.82529","-0.35, p=0.282","0.32, p=0.22771","-0.05, p=0.05107","-0.02, p=0.24174","0.03, p=0.58978","0.02, p=0.93745","0.16, p=0.46999","0.07, p=0.74832","0.41, p=0.0241","0.01, p=0.6306","0.01, p=0.5509","0.13, p=0.32427","0.12, p=0.39231","0.25, p=0.21489","-0.03, p=0.90755","0.06, p=0.83855","0.12, p=0.37797","0.08, p=0.56448","-0.02, p=0.53201","-0.06, p=0.47885","0, p=0.77221","-0.17, p=0.18446","-0.02, p=0.37446","0.02, p=0.64313","-0.05, p=0.42781","0.1, p=0.67432","-0.93, p=0.22872","-0.66, p=0.16175","-0.75, p=0.32337","-0.33, p=0.53963","-1.11, p=0.26396","-1.07, p=0.16104"
"MCM3","-0.05, p=0.8255","-1.11, p=0.00022","-0.15, p=0.5088","-0.01, p=0.43523","0.01, p=0.6386","0.13, p=0.5409","-0.1, p=0.46814","0.88, p=0.41146","-0.05, p=0.67774","-0.03, p=0.81687","0, p=0.95566","0, p=0.9452","-0.01, p=0.93804","0, p=0.96287","-0.01, p=0.93321","-0.17, p=0.40587","0.1, p=0.6309","0.02, p=0.89","-0.05, p=0.72951","-0.01, p=0.87538","-0.02, p=0.82524","0.01, p=0.91852","-0.06, p=0.76897","-0.06, p=0.28338","-0.04, p=0.53818","-0.03, p=0.78977","-0.05, p=0.58535","-0.4, p=0.42664","-0.41, p=0.51908","0.4, p=0.46276","0.13, p=0.57225","-1.2, p=0.20974","-1.07, p=0.26673"
"RPS6KA1","0.05, p=0.82558","0.56, p=0.00048","-0.29, p=0.22111","0.02, p=0.43849","0.08, p=0.04154","-0.04, p=0.83552","-0.59, p=0.01294","0.06, p=0.85522","0, p=0.98866","-0.06, p=0.77965","0.03, p=0.45082","0.01, p=0.476","-0.05, p=0.49691","-0.06, p=0.44837","-0.11, p=0.33114","-0.16, p=0.06052","0.01, p=0.92607","-0.02, p=0.83049","0.03, p=0.72213","0.06, p=0.61085","0.17, p=0.36884","-0.02, p=0.89036","-0.36, p=0.13817","0.06, p=0.52508","0.19, p=0.22355","0.39, p=0.13942","0.06, p=0.74015","0.66, p=0.41176","0.46, p=0.45308","-0.59, p=0.61139","0.62, p=0.45475","1.91, p=0.07336","0.26, p=0.79536"
"PSMD4","-0.02, p=0.82886","-0.09, p=0.602","-0.17, p=0.33413","-0.02, p=0.21998","0.01, p=0.41454","-0.03, p=0.71244","0.1, p=0.22062","-0.01, p=0.82877","-0.05, p=0.47417","0.03, p=0.75329","-0.04, p=0.22535","0, p=0.6221","0.1, p=0.36524","0.1, p=0.3809","0.19, p=0.22958","-0.38, p=0.08659","-0.08, p=0.7448","-0.07, p=0.40284","-0.1, p=0.23079","0.17, p=0.4062","0.05, p=0.68539","0.42, p=0.36266","-0.01, p=0.93849","0, p=0.75022","0.08, p=0.71822","0.37, p=0.1675","-0.06, p=0.68787","-0.17, p=0.59138","0.03, p=0.53936","-0.2, p=0.54864","0.43, p=0.55762","-0.13, p=0.67569","-0.46, p=0.35316"
"IARS2","-0.02, p=0.83018","-0.49, p=0.031","-0.44, p=0.04276","-0.04, p=0.01653","-0.05, p=0.00606","-0.03, p=0.7075","0.12, p=0.26299","0.31, p=0.13218","0.07, p=0.4628","0.04, p=0.6412","-0.04, p=0.29984","-0.02, p=0.1671","0.03, p=0.70635","0.03, p=0.75246","0.06, p=0.63998","-0.34, p=0.12069","-0.53, p=0.02225","-0.06, p=0.58205","-0.09, p=0.43591","0.03, p=0.79586","-0.07, p=0.72776","0.1, p=0.53091","0.01, p=0.92692","-0.16, p=0.06465","0.02, p=0.75534","-0.03, p=0.71655","0.02, p=0.81518","0.13, p=0.83697","-0.33, p=0.60551","0.32, p=0.74732","-0.28, p=0.7388","-0.06, p=0.95364","-0.38, p=0.70895"
"DNMT1","-0.03, p=0.83069","0.06, p=0.725","0.37, p=0.08475","-0.05, p=0.00431","0.01, p=0.65638","0.04, p=0.75244","-0.14, p=0.13782","0.57, p=0.41855","0.06, p=0.58486","-0.12, p=0.31813","-0.03, p=0.52438","0, p=0.8985","0.02, p=0.78927","0.02, p=0.74213","0.03, p=0.686","-0.09, p=0.7612","0.1, p=0.75363","-0.02, p=0.70561","-0.01, p=0.86135","-0.08, p=0.37278","-0.18, p=0.18161","0.01, p=0.95898","0.03, p=0.84304","-0.08, p=0.22639","0.12, p=0.0344","0.18, p=0.07196","0.13, p=0.10245","-1.11, p=0.25161","0.16, p=0.7937","-0.93, p=0.4965","0.38, p=0.6693","-1.28, p=0.28888","-0.11, p=0.91494"
"CREB1","-0.01, p=0.8312","0.01, p=0.949","-0.24, p=0.29075","0.03, p=0.11869","0.01, p=0.81081","0.06, p=0.29476","-0.35, p=0.06755","0.29, p=0.03939","0.03, p=0.86782","0.27, p=0.18116","0.02, p=0.30278","0.01, p=0.3205","0.05, p=0.64469","0.03, p=0.77336","0.07, p=0.61354","-0.02, p=0.92895","0.59, p=0.03968","0.05, p=0.63769","0.06, p=0.58935","0.11, p=0.23104","0.01, p=0.38161","0.19, p=0.25131","0.04, p=0.46009","-0.05, p=0.35527","0.1, p=0.20506","0.13, p=0.20537","0.07, p=0.41482","0.13, p=0.41671","-0.33, p=0.39991","0.22, p=0.57165","0.1, p=0.47093","0.04, p=0.27774","-0.87, p=0.28515"
"ARPP19","-0.01, p=0.8333","0.06, p=0.484","-0.38, p=0.24832","-0.08, p=6e-05","-0.15, p=0.00026","0.01, p=0.92994","0.49, p=0.03831","-0.02, p=0.91617","0.03, p=0.91178","0.29, p=0.19497","-0.09, p=0.0436","-0.07, p=3e-05","0.11, p=0.51313","0.11, p=0.51748","0.23, p=0.37931","-0.01, p=0.78044","-0.03, p=0.48946","-0.17, p=0.00147","-0.15, p=0.0042","-0.01, p=0.77738","-0.23, p=0.27792","0.16, p=0.43756","-0.07, p=0.64536","-0.04, p=0.26221","-0.14, p=0.12796","-0.24, p=0.18872","-0.13, p=0.27435","0.18, p=0.40262","-0.05, p=0.46704","0.62, p=0.40109","0.21, p=0.52505","-0.25, p=0.60869","-0.37, p=0.60096"
"SUPV3L1","-0.01, p=0.83391",NA,"0.12, p=0.62381","-0.03, p=0.04372","0, p=0.75963","-0.01, p=0.84424","-0.02, p=0.84328","0.11, p=0.29792","0.08, p=0.41065","0.1, p=0.28267","-0.04, p=0.35775","-0.01, p=0.478","-0.01, p=0.95329","-0.01, p=0.95777","-0.01, p=0.93985","-0.62, p=0.02225","-0.11, p=0.69102","-0.25, p=0.14657","0.05, p=0.75302","0.01, p=0.84887","-0.05, p=0.64526","0.08, p=0.37922","0.12, p=0.42027","0.05, p=0.46588","-0.04, p=0.33086","-0.07, p=0.46157","-0.03, p=0.68324","-0.92, p=0.24174","-0.34, p=0.56991","-1.33, p=0.28122","-0.33, p=0.71028","-0.52, p=0.57951","-0.36, p=0.71287"
"RHOA","-0.02, p=0.83434","0.04, p=0.71","-0.57, p=0.00873","0, p=0.77289","0, p=0.86325","-0.05, p=0.53654","-0.03, p=0.80068","0.2, p=0.33101","-0.03, p=0.77405","-0.07, p=0.38072","-0.04, p=0.48663","0, p=0.7357","-0.5, p=0.0592","0.01, p=0.98315","0.36, p=0.01165","-0.03, p=0.80067","-0.17, p=0.21407","-0.32, p=0.02002","-0.42, p=0.00267","-0.08, p=0.67422","-0.13, p=0.75531","-0.04, p=0.72354","-0.02, p=0.5596","-0.01, p=0.93026","0.07, p=0.50108","-0.03, p=0.83068","0.03, p=0.67468","0.14, p=0.58285","-0.33, p=0.41237","0.07, p=0.70922","-0.13, p=0.47539","0.21, p=0.44763","-0.57, p=0.48652"
"HADH","-0.02, p=0.83448","0.01, p=0.956","-0.26, p=0.26302","0.03, p=0.05424","-0.01, p=0.46425","0.06, p=0.53707","0.03, p=0.81166","0.35, p=0.173","0.07, p=0.5511","0.15, p=0.22225","-0.01, p=0.80511","-0.01, p=0.5604","-0.05, p=0.64353","-0.05, p=0.65318","-0.09, p=0.53734","0.49, p=0.08848","-0.36, p=0.23651","0.05, p=0.72257","0.07, p=0.66433","-0.02, p=0.7849","-0.24, p=0.37215","0.17, p=0.53357","-0.01, p=0.14139","0.03, p=0.25204","-0.06, p=0.31054","0.02, p=0.42758","-0.11, p=0.26561","-1.18, p=0.13308","0.24, p=0.73706","-0.36, p=0.30723","0.13, p=0.86496","-2, p=0.05662","0.38, p=0.52861"
"MYO10","0.04, p=0.83482",NA,"-0.61, p=0.00862","0.12, p=0.00233","-0.08, p=0.0122","0.15, p=0.43558","-0.22, p=0.33629","0.11, p=0.56591","0.16, p=0.49056","0.09, p=0.68409","0.02, p=0.50265","0, p=0.8742","0.02, p=0.8038","0.02, p=0.76284","0.03, p=0.70915","0.14, p=0.62992","-0.21, p=0.49605","0.16, p=0.4026","0.06, p=0.73697","0.02, p=0.52503","0.24, p=0.28566","-0.19, p=0.64598","0.07, p=0.76805","0.19, p=0.20795","-0.02, p=0.82598","0.1, p=0.63573","0.02, p=0.90546","0.6, p=0.43443","0.12, p=0.61599","0.94, p=0.3605","0.79, p=0.29759","0.27, p=0.52535","-0.71, p=0.3658"
"GFOD1","0.07, p=0.83645","-0.08, p=0.554","0.75, p=0.12219","0, p=0.87215","-0.01, p=0.77324","0.16, p=0.66838","-0.19, p=0.37289","0.23, p=0.34701","-0.06, p=0.74525","0.13, p=0.41309","0.03, p=0.31978","-0.01, p=0.5746","0.1, p=0.27413","0.01, p=0.93124","0.22, p=0.12383","0.57, p=0.01377","-0.32, p=0.19106","0.44, p=2e-05","0.35, p=0.00082","0.16, p=0.29198","0.05, p=0.66596","0.24, p=0.31822",NA,"0.14, p=0.14119","0.03, p=0.64237","0.05, p=0.64099","0, p=0.81776","-0.05, p=0.93434","-0.09, p=0.88309","0.69, p=0.45849","0.24, p=0.78133","-0.79, p=0.38186","-0.5, p=0.60508"
"DUSP22","0.02, p=0.84327","-0.12, p=0.496","-0.28, p=0.32518","-0.03, p=0.04619","0, p=0.87062","-0.05, p=0.65795","-0.06, p=0.57646","-0.12, p=0.27928","0.12, p=0.26881","0.07, p=0.3234","-0.07, p=0.05415","-0.02, p=0.223","0.06, p=0.41125","0.06, p=0.40562","0.13, p=0.26446","0.01, p=0.97632","-0.27, p=0.17431","0.23, p=0.13629","0.18, p=0.24413","-0.1, p=0.24737","-0.09, p=0.36678","-0.12, p=0.22833",NA,"-0.05, p=0.44887","0.04, p=0.51018","0.06, p=0.56662","0.01, p=0.93528","-0.35, p=0.59087","0.23, p=0.67398","0.32, p=0.73354","0.2, p=0.80468","-1.03, p=0.31527","0.27, p=0.76973"
"PPIC","-0.04, p=0.84463",NA,"-2.59, p=0.00271","0.03, p=0.21928","0.04, p=0.44419","-0.04, p=0.84126","-0.12, p=0.57394","0, p=0.99238","0.05, p=0.7911","-0.18, p=0.3814","0.02, p=0.32543","-0.03, p=0.2898","0.05, p=0.49826","0.05, p=0.48516","0.1, p=0.35273","0.14, p=0.38194","0.31, p=0.05926","-0.04, p=0.87714","0.21, p=0.41104","-0.2, p=0.28633","-0.18, p=0.51379","-0.19, p=0.13014","0.62, p=0.12122","0.14, p=0.34378","-0.2, p=0.28966","0, p=0.4919","-0.25, p=0.42285","-0.31, p=0.67974","-0.44, p=0.45374","0.13, p=0.68037","0.31, p=0.70828","-0.75, p=0.2695","-1.38, p=0.13702"
"SACM1L","-0.01, p=0.84473","-0.49, p=0.12","0.13, p=0.62495","-0.04, p=0.10619","0.02, p=0.27204","0.07, p=0.18835","0.12, p=0.26934","0.08, p=0.44456","-0.03, p=0.80379","-0.07, p=0.48611","-0.05, p=0.48928","-0.02, p=0.0947","-0.06, p=0.53428","-0.07, p=0.48815","-0.13, p=0.3739","-0.09, p=0.54349","-0.09, p=0.57664","0.04, p=0.61164","-0.12, p=0.14448","-0.05, p=0.4757","-0.1, p=0.34177","0, p=0.97448","0.01, p=0.92945","0.19, p=0.10367","0.03, p=0.59512","0.11, p=0.24898","-0.05, p=0.44087","0, p=0.99545","-0.11, p=0.86458","0.37, p=0.70482","0, p=0.9959","-0.37, p=0.70242","-0.25, p=0.79922"
"MRPS16","0.01, p=0.84612","-0.71, p=0.0838","-0.01, p=0.982","0.01, p=0.70301","-0.06, p=0.02006","0.01, p=0.93181","-0.02, p=0.93439","0.43, p=0.06791","0.29, p=0.086","-0.15, p=0.44654","-0.01, p=0.7256","-0.02, p=0.03758","0.05, p=0.53307","0.03, p=0.68185","0.08, p=0.48612","0.23, p=0.17028","0.67, p=0.02463","-0.01, p=0.94087","0, p=0.9994","-0.29, p=0.5493","-0.93, p=0.20815","0.34, p=0.71911",NA,"-0.08, p=0.60837","-0.02, p=0.50609","0.01, p=0.45071","-0.1, p=0.25756","-0.62, p=0.27232","0.49, p=0.51295","-1.45, p=0.16124","0.84, p=0.41986","0.21, p=0.52208","0.05, p=0.89743"
"SATB1","0.04, p=0.84689",NA,"0.59, p=0.02763","-0.04, p=0.07938","-0.06, p=0.31502","0.21, p=0.30034","0.4, p=0.01503","-0.09, p=0.57618","-0.01, p=0.95481","0.01, p=0.89156","0, p=0.99451","-0.01, p=0.4489","-0.01, p=0.94315","-0.01, p=0.93489","-0.02, p=0.91739","0.1, p=0.15685","-0.1, p=0.18465","0.2, p=0.06386","0.14, p=0.20477","0.07, p=0.47198","0.26, p=0.1402","-0.08, p=0.74254","0.21, p=0.17702","0.05, p=0.45942","0.05, p=0.62748","0.1, p=0.61332","0.02, p=0.88044","-0.54, p=0.46002","-0.22, p=0.72949","-0.36, p=0.7271","-0.03, p=0.58969","-0.72, p=0.41999","-0.46, p=0.61298"
"PUF60","-0.02, p=0.84886","0.72, p=0.00409","0.13, p=0.48127","-0.03, p=0.01977","0, p=0.95995","0.03, p=0.75981","-0.09, p=0.21816","0.07, p=0.4617","0.12, p=0.13915","0.07, p=0.15875","-0.05, p=0.42677","0, p=0.7787","0.03, p=0.72256","0.02, p=0.84749","0.05, p=0.71235","-0.25, p=0.17693","-0.22, p=0.2505","-0.15, p=0.17833","-0.2, p=0.07438","-0.09, p=0.21793","-0.15, p=0.15752","-0.03, p=0.76727","0.13, p=0.20514","-0.04, p=0.54186","-0.03, p=0.46259","-0.02, p=0.81079","-0.06, p=0.39065","-0.45, p=0.53581","0.23, p=0.72935","0.18, p=0.86577","0.41, p=0.64907","-1.08, p=0.30001","0.01, p=0.99493"
"TRAPPC6A","0.02, p=0.84897","-0.4, p=0.0812","-1.23, p=0.00373","0.01, p=0.56363","0, p=0.96804","-0.07, p=0.49798","-0.29, p=0.16623","0.37, p=0.13245","-0.02, p=0.89826","-0.11, p=0.54588","-0.05, p=0.39222","-0.01, p=0.7239","0.04, p=0.62574","0.04, p=0.62223","0.09, p=0.50724","-0.03, p=0.7141","0.09, p=0.26076","0.01, p=0.90613","-0.03, p=0.80676","-0.24, p=0.11121","-0.13, p=0.5723","-0.33, p=0.10418","-0.14, p=0.26965","0.06, p=0.34915","-0.1, p=0.49629","0.01, p=0.94895","-0.17, p=0.41723","-0.38, p=0.52251","0.48, p=0.48942","-0.59, p=0.51025","0.5, p=0.59341","-0.17, p=0.85543","0.45, p=0.64598"
"STAMBP","-0.01, p=0.84926","0.09, p=0.496","-0.39, p=0.17329","0.02, p=0.2945","-0.02, p=0.4117","-0.11, p=0.09955","-0.19, p=0.02486","-0.07, p=0.32671","-0.02, p=0.82908","-0.12, p=0.05967","-0.03, p=0.4074","0, p=0.9801","0.02, p=0.84115","0.02, p=0.84246","0.03, p=0.78699","-0.18, p=0.40285","-0.35, p=0.12478","-0.25, p=0.09308","-0.04, p=0.80166","-0.13, p=0.20556","-0.06, p=0.64954","-0.19, p=0.14987","0.01, p=0.93273","0.02, p=0.70921","0.04, p=0.6132","0.06, p=0.57459","0.01, p=0.79136","-0.57, p=0.43553","0.24, p=0.49055","-0.9, p=0.3603","0.54, p=0.37893","-0.23, p=0.82943","-0.13, p=0.56212"
"UBE3B","-0.01, p=0.85087","0.21, p=0.49","0.18, p=0.38626","0.01, p=0.40415","0.06, p=0.01628","-0.03, p=0.65391","-0.19, p=0.07033","-0.04, p=0.74621","0.02, p=0.88902","0.18, p=0.0422","0.01, p=0.76113","-0.03, p=0.00911","-0.09, p=0.22016","-0.09, p=0.25804","-0.18, p=0.11309","0.06, p=0.73175","0.07, p=0.70369","0.08, p=0.66913","0.63, p=0.00159","0.27, p=0.34099","0.24, p=0.37826","-0.14, p=0.29251","0.06, p=0.63037","-0.03, p=0.25003","-0.02, p=0.42963","-0.13, p=0.24833","0.11, p=0.48325","-0.1, p=0.44542","-0.33, p=0.47599","-0.02, p=0.46653","-0.05, p=0.50127","-0.18, p=0.56646","-0.68, p=0.25937"
"PECR","-0.02, p=0.8537","0.43, p=0.00394","-0.82, p=0.0313","0.01, p=0.52025","-0.04, p=0.05954","-0.14, p=0.15386","-0.77, p=0.01749","0.2, p=0.3552","0.29, p=0.19672","-0.1, p=0.69757","-0.01, p=0.6917","-0.02, p=0.2395","0, p=0.97323","-0.02, p=0.81631","-0.01, p=0.89056","-0.13, p=0.12236","-0.1, p=0.22362","0.22, p=0.00168","0.21, p=0.0031","0.7, p=0.37828","0.14, p=0.60204","1.26, p=0.4446",NA,"0.03, p=0.86189","-0.01, p=0.73385","-0.04, p=0.72846","-0.06, p=0.67041","-0.33, p=0.39863","0.48, p=0.45804","0.42, p=0.71918","0.86, p=0.35395","-1.08, p=0.1828","0, p=0.82764"
"DFFA","-0.01, p=0.85446","-0.41, p=0.0452","-0.41, p=0.07131","-0.01, p=0.57173","-0.01, p=0.52614","-0.02, p=0.65662","-0.02, p=0.87079","0.12, p=0.45226","0.09, p=0.52529","0, p=0.96963","0.07, p=0.14258","-0.01, p=0.2745","0.05, p=0.52652","0.06, p=0.50978","0.11, p=0.38228","-0.31, p=0.23283","0.11, p=0.68829","0.24, p=0.38233","-0.02, p=0.93953","0.08, p=0.73123","0.13, p=0.56022","0.05, p=0.59306","0.24, p=0.21807","0, p=0.96856","0.05, p=0.35449","0.04, p=0.5395","0.07, p=0.33805","0.47, p=0.4321","-0.45, p=0.38633","0.29, p=0.81343","-0.11, p=0.61177","0.66, p=0.25102","-0.88, p=0.32239"
"TIMM9","-0.01, p=0.8562","-0.06, p=0.686","-0.05, p=0.9165","0.01, p=0.42483","0.01, p=0.53592","-0.01, p=0.94148","0.2, p=0.0463","0.02, p=0.91883","-0.2, p=0.05746","-0.08, p=0.36995","-0.02, p=0.53528","-0.01, p=0.4772","0.02, p=0.80593","0.02, p=0.84373","0.03, p=0.76477","-0.64, p=0.00453","0.05, p=0.82198","-0.49, p=0.00113","-0.1, p=0.5174","-0.06, p=0.475","-0.15, p=0.2618","0.02, p=0.87384",NA,"0.05, p=0.28122","-0.11, p=0.05821","-0.09, p=0.32816","-0.11, p=0.20431","-0.55, p=0.44334","-0.29, p=0.68193","-1.12, p=0.29313","-0.38, p=0.6906","0.03, p=0.97942","-0.16, p=0.87646"
"C2CD2L","-0.02, p=0.85744","-0.21, p=0.15","1.01, p=0.00083","-0.05, p=0.00088","-0.04, p=0.05222","-0.02, p=0.85608","-0.01, p=0.92282","0.01, p=0.93313","-0.02, p=0.92602","-0.11, p=0.50456","-0.01, p=0.6161","0, p=0.9984","-0.09, p=0.15842","-0.1, p=0.11645","-0.19, p=0.04563","-0.14, p=0.26232","0.16, p=0.22003","-0.07, p=0.59427","0.13, p=0.34392","-0.32, p=0.60883","-0.67, p=0.25408","-0.03, p=0.77361","-0.2, p=0.63409","-0.1, p=0.60924","-0.06, p=0.58038","-0.03, p=0.50495","-0.15, p=0.62018","-0.67, p=0.32433","-0.51, p=0.46527","0.29, p=0.76436","-0.6, p=0.43988","-1.63, p=0.10923","-0.4, p=0.66733"
"DUSP6","0.06, p=0.85781","-0.71, p=0.0652","-1.28, p=2e-05","-0.27, p=0","-0.3, p=0.09529","0.01, p=0.98162","0.16, p=0.40114","0.24, p=0.25446","0.28, p=0.16772","-0.1, p=0.72783","-0.13, p=0.03464","0.17, p=3e-05","0.04, p=0.72853","0.04, p=0.7242","0.08, p=0.6357","-0.03, p=0.88352","-0.23, p=0.2419","-0.18, p=0.21967","-0.45, p=0.00274","-0.29, p=0.24938","-0.3, p=0.22709","-0.31, p=0.4575","-0.02, p=0.93047","-0.39, p=0.06822","-0.22, p=0.24154","-0.2, p=0.46412","-0.36, p=0.2326","-0.71, p=0.10501","-0.43, p=0.34993","-1.03, p=0.31787","-0.01, p=0.61641","-0.38, p=0.13127","-0.96, p=0.28456"
"FOXO3","0.02, p=0.85844","0.05, p=0.79","0.1, p=0.69635","0.03, p=0.14397","0.02, p=0.18207","0.06, p=0.61906","0.17, p=0.17544","-0.08, p=0.49669","-0.07, p=0.56629","0.04, p=0.6126","0.03, p=0.33624","-0.03, p=0.00536","0.06, p=0.55833","0.05, p=0.58936","0.11, p=0.44717","0.39, p=0.03941","0.4, p=0.0456","0.19, p=0.10799","0.27, p=0.17974","0.04, p=0.52225","-0.02, p=0.63499","0.1, p=0.5035","0.06, p=0.67748","-0.04, p=0.42159","-0.03, p=0.34366","0.08, p=0.57373","-0.12, p=0.35152","-0.09, p=0.5676","0.11, p=0.75711","1.19, p=0.23972","0.86, p=0.28034","-0.64, p=0.3056","-0.22, p=0.67137"
"MBTPS1","0.01, p=0.85967","-0.06, p=0.521","-0.2, p=0.27303","-0.02, p=0.12675","0, p=0.75337","0, p=0.99328","0.19, p=0.19361","-0.01, p=0.91264","-0.18, p=0.1671","0.01, p=0.88386","0.01, p=0.83806","-0.01, p=0.4529","0.06, p=0.47963","0.04, p=0.65482","0.09, p=0.4369","-0.23, p=0.35169","-0.09, p=0.7339","-0.07, p=0.6848","-0.47, p=0.00437","0.1, p=0.26932","0.03, p=0.6366","0.15, p=0.20405","0.16, p=0.21037","-0.05, p=0.35361","-0.03, p=0.53268","-0.03, p=0.42468","-0.02, p=0.81207","-0.32, p=0.46295","0.08, p=0.71673","-0.31, p=0.48854","0.09, p=0.92223","-0.33, p=0.42647","0.05, p=0.61459"
"ERBB3","-0.07, p=0.86018",NA,"0.38, p=0.54071","0.07, p=0.25927","0.07, p=0.51589","1.04, p=0.00915","-0.79, p=0.01592","-0.14, p=0.5702","0.21, p=0.56352","-0.28, p=0.13879","-0.01, p=0.53008","-0.04, p=0.02602","0.02, p=0.76895","0.01, p=0.84608","0.03, p=0.74205","0.07, p=0.70078","0.17, p=0.40922","0.13, p=0.03669","0.04, p=0.50355","0.33, p=0.12646","0.2, p=0.51552","0.18, p=0.08618","-0.32, p=0.17364","-0.08, p=0.63792","0.01, p=0.57787","-0.07, p=0.72749","0.04, p=0.58794","0.11, p=0.46423","-0.29, p=0.50499","0.32, p=0.54895","0.27, p=0.58662","-0.09, p=0.43947","-0.98, p=0.25313"
"SGCB","0.02, p=0.86251","0.21, p=0.29","0.14, p=0.55795","0.03, p=0.09307","0.02, p=0.35973","-0.04, p=0.74545","-0.25, p=0.11514","-0.11, p=0.38462","0.17, p=0.25589","0.01, p=0.96083","0, p=0.89245","-0.03, p=0.02546","0.07, p=0.55351","0.06, p=0.62163","0.13, p=0.4634","0.09, p=0.53343","0.09, p=0.54515","-0.04, p=0.65101","-0.17, p=0.09569","-0.01, p=0.54819","0.09, p=0.48881","-0.1, p=0.27467","0.01, p=0.98709","0.16, p=0.40719","0.04, p=0.46154","0, p=0.23226","0.08, p=0.59205","-0.2, p=0.6247","0.06, p=0.6726","-0.03, p=0.71993","0.5, p=0.41421","-0.37, p=0.45585","-0.48, p=0.62431"
